Nomor,Bahasa Ngapak,Bahasa Indonesia,Contoh Kalimat (Bahasa Daerah),Contoh Kalimat (Bahasa Indonesia),Tingkatan,Bahasa,Dialek,Provinsi,Daerah,Suku
1,Abot,Berat,Abot banget gawananku.,Berat sekali bawaanku.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
2,Adoh,Jauh,Umahmu adoh apa ora?,Rumah kamu jauh apa tidak?,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
3,Adus,Mandi,Nyongurung adus kawit esuk.,Aku belum mandi sedari pagi.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
4,Aja,Jangan,Aja mangan nang ngarep lawang.,Jangan makan di depan pintu.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
5,Apik,Bagus,Gambare kae apik banget ya!,"Gambar dia bagus sekali, ya!",,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
6,Arep,Ingin,Nyong arep madang disit.,Aku mau makan dulu.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
7,Bae,Saja,Apa arep kaya kiye bae?,Apa mau seperti ini saja?,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
8,Blas,Sama sekali,Nyong ora ngerti blas.,Aku tidak tahu sama sekali.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
9,Cekel,Pegang,Kiye kudu dicekel ben ora tiba.,Ini harus dipegang agar tidak jatuh.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
10,Cokot,Gigit,Angger alot ya kudu dicokot.,Kalau keras ya harus digigit.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
11,Dhewekan,Sendirian,Wingi nyong nang umah dhewekan.,Kemarin aku di rumah sendirian.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
12,Dolan,Main/Berkunjung,Aja kelalen dolan ya!,"Jangan lupa main, ya!",,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
13,Elek,Jelek,Wong kae duwe watek elek banget.,Orang itu punya watak jelek sekali.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
14,Eman,Sayang,Eman temen ora teyeng dinggo.,Sayang sekali tidak bisa dipakai.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
15,Entheng,Ringan,Bocah kae bobote entheng banget.,Anak itu massanya ringan sekali.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
16,Gagehan,Bergegas,Ayuh gagehan mbok telat.,Ayo bergegas biar tidak terlambat.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
17,Garing,Kering,Pemeanku garing kabeh dina kiye.,Jemuranku kering semua hari ini.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
18,Gemiyen,Dahulu,Gemiyen nyong sekolah nang kota.,"Dahulu, aku sekolah di kota.",,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
19,Gutul,Sampai,Kira-kira jam pira gutul Klaten?,Kira-kira pukul berapa sampai di Klaten?,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
20,Isin,Malu,Nyong isin nek kon nari.,Aku malu kalau disuruh menari.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
21,Jeneng,Nama,Sapa jenengmu?,Siapa namamu?,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
22,Jengkel,Kesal,Nyong lagi jengkel karo kae.,Aku sedang kesal dengannya.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
23,Kanca,Teman,Kanca cilikku wis pada sukses.,Teman kecilku sudah menjadi sukses.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
24,Karo,Bersama,Nyong karo koe dolan nang pantai.,Aku dan kamu bermain di pantai.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
25,Kebanjur,Telanjur,"Wis kebanjur, ya kepriwe maning.","Sudah telanjut, mau bagaimana lagi.",,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
26,Kelalen,Lupa,"Aja kelalen ngesuk ming nggonku, ya!","Jangan lupa besok ke rumahku, ya!",,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
27,Kelingan,Ingat,Nyong kadang kelingan karo kanca adohku.,Aku kadang teringat dengan temanku yang jauh.,,Jawa,Banyumasan,Jawa Tengah,Purbalingga,Jawa
